0 - solids took 4654.31922293ec


mean: -0.03420, std: 0.00607, params: {'hidden0_num_units': 7, 'hidden1_num_units': 17}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 18}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 19}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 20}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 21}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 22}
mean: -0.02827, std: 0.00599, params: {'hidden0_num_units': 7, 'hidden1_num_units': 23}
mean: -0.02955, std: 0.00521, params: {'hidden0_num_units': 7, 'hidden1_num_units': 24}
mean: -0.02947, std: 0.00526, params: {'hidden0_num_units': 7, 'hidden1_num_units': 25}
mean: -0.02947, std: 0.00526, params: {'hidden0_num_units': 7, 'hidden1_num_units': 26}
mean: -0.02947, std: 0.00526, params: {'hidden0_num_units': 7, 'hidden1_num_units': 27}
mean: -0.02947, std: 0.00526, params: {'hidden0_num_units': 7, 'hidden1_num_units': 28}
mean: -0.02947, std: 0.00526, params: {'hidden0_num_units': 7, 'hidden1_num_units': 29}
mean: -0.02925, std: 0.00543, params: {'hidden0_num_units': 7, 'hidden1_num_units': 30}
mean: -0.03152, std: 0.00493, params: {'hidden0_num_units': 7, 'hidden1_num_units': 31}
mean: -0.03953, std: 0.01545, params: {'hidden0_num_units': 8, 'hidden1_num_units': 5}
mean: -0.03953, std: 0.01545, params: {'hidden0_num_units': 8, 'hidden1_num_units': 6}
mean: -0.03953, std: 0.01545, params: {'hidden0_num_units': 8, 'hidden1_num_units': 7}
mean: -0.03953, std: 0.01545, params: {'hidden0_num_units': 8, 'hidden1_num_units': 8}
mean: -0.03953, std: 0.01545, params: {'hidden0_num_units': 8, 'hidden1_num_units': 9}
mean: -0.04157, std: 0.01480, params: {'hidden0_num_units': 8, 'hidden1_num_units': 10}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 11}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 12}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 13}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 14}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 15}
mean: -0.03762, std: 0.00474, params: {'hidden0_num_units': 8, 'hidden1_num_units': 16}
mean: -0.04335, std: 0.00420, params: {'hidden0_num_units': 8, 'hidden1_num_units': 17}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 18}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 19}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 20}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 21}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 22}
mean: -0.04714, std: 0.00339, params: {'hidden0_num_units': 8, 'hidden1_num_units': 23}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 24}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 25}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 26}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 27}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 28}
mean: -0.03932, std: 0.00175, params: {'hidden0_num_units': 8, 'hidden1_num_units': 29}
mean: -0.04056, std: 0.00066, params: {'hidden0_num_units': 8, 'hidden1_num_units': 30}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 8, 'hidden1_num_units': 31}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 9, 'hidden1_num_units': 5}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 9, 'hidden1_num_units': 6}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 9, 'hidden1_num_units': 7}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 9, 'hidden1_num_units': 8}
mean: -0.03620, std: 0.00819, params: {'hidden0_num_units': 9, 'hidden1_num_units': 9}
mean: -0.03784, std: 0.00988, params: {'hidden0_num_units': 9, 'hidden1_num_units': 10}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 11}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 12}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 13}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 14}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 15}
mean: -0.04382, std: 0.00349, params: {'hidden0_num_units': 9, 'hidden1_num_units': 16}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 17}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 18}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 19}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 20}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 21}
mean: -0.02952, std: 0.00553, params: {'hidden0_num_units': 9, 'hidden1_num_units': 22}
mean: -0.02510, std: 0.00453, params: {'hidden0_num_units': 9, 'hidden1_num_units': 23}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 24}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 25}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 26}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 27}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 28}
mean: -0.02825, std: 0.00652, params: {'hidden0_num_units': 9, 'hidden1_num_units': 29}
mean: -0.03651, std: 0.00074, params: {'hidden0_num_units': 9, 'hidden1_num_units': 30}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 9, 'hidden1_num_units': 31}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 10, 'hidden1_num_units': 5}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 10, 'hidden1_num_units': 6}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 10, 'hidden1_num_units': 7}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 10, 'hidden1_num_units': 8}
mean: -0.03439, std: 0.00258, params: {'hidden0_num_units': 10, 'hidden1_num_units': 9}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 10}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 11}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 12}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 13}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 14}
mean: -0.02299, std: 0.00366, params: {'hidden0_num_units': 10, 'hidden1_num_units': 15}
mean: -0.02883, std: 0.00644, params: {'hidden0_num_units': 10, 'hidden1_num_units': 16}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 17}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 18}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 19}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 20}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 21}
mean: -0.03717, std: 0.00513, params: {'hidden0_num_units': 10, 'hidden1_num_units': 22}
mean: -0.04816, std: 0.01282, params: {'hidden0_num_units': 10, 'hidden1_num_units': 23}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 24}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 25}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 26}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 27}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 28}
mean: -0.05467, std: 0.00498, params: {'hidden0_num_units': 10, 'hidden1_num_units': 29}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 10, 'hidden1_num_units': 30}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 10, 'hidden1_num_units': 31}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 11, 'hidden1_num_units': 5}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 11, 'hidden1_num_units': 6}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 11, 'hidden1_num_units': 7}
mean: -0.04515, std: 0.00655, params: {'hidden0_num_units': 11, 'hidden1_num_units': 8}
mean: -0.04050, std: 0.01049, params: {'hidden0_num_units': 11, 'hidden1_num_units': 9}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 10}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 11}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 12}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 13}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 14}
mean: -0.02952, std: 0.00064, params: {'hidden0_num_units': 11, 'hidden1_num_units': 15}
mean: -0.03901, std: 0.00906, params: {'hidden0_num_units': 11, 'hidden1_num_units': 16}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 17}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 18}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 19}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 20}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 21}
mean: -0.03776, std: 0.01037, params: {'hidden0_num_units': 11, 'hidden1_num_units': 22}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 23}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 24}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 25}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 26}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 27}
mean: -0.03055, std: 0.00652, params: {'hidden0_num_units': 11, 'hidden1_num_units': 28}
mean: -0.02899, std: 0.00598, params: {'hidden0_num_units': 11, 'hidden1_num_units': 29}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 11, 'hidden1_num_units': 30}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 11, 'hidden1_num_units': 31}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 12, 'hidden1_num_units': 5}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 12, 'hidden1_num_units': 6}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 12, 'hidden1_num_units': 7}
mean: -0.03123, std: 0.00162, params: {'hidden0_num_units': 12, 'hidden1_num_units': 8}
mean: -0.03865, std: 0.00718, params: {'hidden0_num_units': 12, 'hidden1_num_units': 9}
mean: -0.04006, std: 0.00638, params: {'hidden0_num_units': 12, 'hidden1_num_units': 10}
mean: -0.04006, std: 0.00638, params: {'hidden0_num_units': 12, 'hidden1_num_units': 11}
mean: -0.04006, std: 0.00638, params: {'hidden0_num_units': 12, 'hidden1_num_units': 12}
mean: -0.04006, std: 0.00638, params: {'hidden0_num_units': 12, 'hidden1_num_units': 13}
mean: -0.04006, std: 0.00638, params: {'hidden0_num_units': 12, 'hidden1_num_units': 14}
mean: -0.04285, std: 0.00458, params: {'hidden0_num_units': 12, 'hidden1_num_units': 15}
mean: -0.03766, std: 0.00362, params: {'hidden0_num_units': 12, 'hidden1_num_units': 16}
mean: -0.04769, std: 0.01463, params: {'hidden0_num_units': 12, 'hidden1_num_units': 17}
mean: -0.04769, std: 0.01463, params: {'hidden0_num_units': 12, 'hidden1_num_units': 18}
mean: -0.04769, std: 0.01463, params: {'hidden0_num_units': 12, 'hidden1_num_units': 19}
mean: -0.04769, std: 0.01463, params: {'hidden0_num_units': 12, 'hidden1_num_units': 20}
mean: -0.04769, std: 0.01463, params: {'hidden0_num_units': 12, 'hidden1_num_units': 21}
mean: -0.05320, std: 0.01075, params: {'hidden0_num_units': 12, 'hidden1_num_units': 22}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 23}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 24}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 25}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 26}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 27}
mean: -0.04144, std: 0.00733, params: {'hidden0_num_units': 12, 'hidden1_num_units': 28}
mean: -0.04051, std: 0.00904, params: {'hidden0_num_units': 12, 'hidden1_num_units': 29}
mean: -0.03811, std: 0.00699, params: {'hidden0_num_units': 12, 'hidden1_num_units': 30}
mean: -0.03811, std: 0.00699, params: {'hidden0_num_units': 12, 'hidden1_num_units': 31}
mean: -0.03811, std: 0.00699, params: {'hidden0_num_units': 13, 'hidden1_num_units': 5}
mean: -0.03811, std: 0.00699, params: {'hidden0_num_units': 13, 'hidden1_num_units': 6}
mean: -0.03811, std: 0.00699, params: {'hidden0_num_units': 13, 'hidden1_num_units': 7}
mean: -0.03444, std: 0.00659, params: {'hidden0_num_units': 13, 'hidden1_num_units': 8}
mean: -0.03381, std: 0.00721, params: {'hidden0_num_units': 13, 'hidden1_num_units': 9}
mean: -0.02980, std: 0.00245, params: {'hidden0_num_units': 13, 'hidden1_num_units': 10}
mean: -0.02980, std: 0.00245, params: {'hidden0_num_units': 13, 'hidden1_num_units': 11}
mean: -0.02980, std: 0.00245, params: {'hidden0_num_units': 13, 'hidden1_num_units': 12}
mean: -0.02980, std: 0.00245, params: {'hidden0_num_units': 13, 'hidden1_num_units': 13}
mean: -0.02980, std: 0.00245, params: {'hidden0_num_units': 13, 'hidden1_num_units': 14}
mean: -0.03024, std: 0.00281, params: {'hidden0_num_units': 13, 'hidden1_num_units': 15}
mean: -0.02787, std: 0.00375, params: {'hidden0_num_units': 13, 'hidden1_num_units': 16}
