took 30274.8471901ec


mean: -0.07176, std: 0.00306, params: {'hidden0_num_units': 7, 'hidden1_num_units': 17}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 18}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 19}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 20}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 21}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 22}
mean: -0.07467, std: 0.00477, params: {'hidden0_num_units': 7, 'hidden1_num_units': 23}
mean: -0.07452, std: 0.01128, params: {'hidden0_num_units': 7, 'hidden1_num_units': 24}
mean: -0.07316, std: 0.01220, params: {'hidden0_num_units': 7, 'hidden1_num_units': 25}
mean: -0.07316, std: 0.01220, params: {'hidden0_num_units': 7, 'hidden1_num_units': 26}
mean: -0.07316, std: 0.01220, params: {'hidden0_num_units': 7, 'hidden1_num_units': 27}
mean: -0.07316, std: 0.01220, params: {'hidden0_num_units': 7, 'hidden1_num_units': 28}
mean: -0.07316, std: 0.01220, params: {'hidden0_num_units': 7, 'hidden1_num_units': 29}
mean: -0.06537, std: 0.00130, params: {'hidden0_num_units': 7, 'hidden1_num_units': 30}
mean: -0.05947, std: 0.00945, params: {'hidden0_num_units': 7, 'hidden1_num_units': 31}
mean: -0.06141, std: 0.01092, params: {'hidden0_num_units': 8, 'hidden1_num_units': 5}
mean: -0.06141, std: 0.01092, params: {'hidden0_num_units': 8, 'hidden1_num_units': 6}
mean: -0.06141, std: 0.01092, params: {'hidden0_num_units': 8, 'hidden1_num_units': 7}
mean: -0.06141, std: 0.01092, params: {'hidden0_num_units': 8, 'hidden1_num_units': 8}
mean: -0.06141, std: 0.01092, params: {'hidden0_num_units': 8, 'hidden1_num_units': 9}
mean: -0.07380, std: 0.00255, params: {'hidden0_num_units': 8, 'hidden1_num_units': 10}
mean: -0.07380, std: 0.00255, params: {'hidden0_num_units': 8, 'hidden1_num_units': 11}
mean: -0.07076, std: 0.00645, params: {'hidden0_num_units': 8, 'hidden1_num_units': 12}
mean: -0.07076, std: 0.00645, params: {'hidden0_num_units': 8, 'hidden1_num_units': 13}
mean: -0.07076, std: 0.00645, params: {'hidden0_num_units': 8, 'hidden1_num_units': 14}
mean: -0.07076, std: 0.00645, params: {'hidden0_num_units': 8, 'hidden1_num_units': 15}
mean: -0.07076, std: 0.00645, params: {'hidden0_num_units': 8, 'hidden1_num_units': 16}
mean: -0.06956, std: 0.00346, params: {'hidden0_num_units': 8, 'hidden1_num_units': 17}
mean: -0.07438, std: 0.00965, params: {'hidden0_num_units': 8, 'hidden1_num_units': 18}
mean: -0.07438, std: 0.00965, params: {'hidden0_num_units': 8, 'hidden1_num_units': 19}
mean: -0.07438, std: 0.00965, params: {'hidden0_num_units': 8, 'hidden1_num_units': 20}
mean: -0.07438, std: 0.00965, params: {'hidden0_num_units': 8, 'hidden1_num_units': 21}
mean: -0.07438, std: 0.00965, params: {'hidden0_num_units': 8, 'hidden1_num_units': 22}
mean: -0.07372, std: 0.00874, params: {'hidden0_num_units': 8, 'hidden1_num_units': 23}
mean: -0.07293, std: 0.00956, params: {'hidden0_num_units': 8, 'hidden1_num_units': 24}
mean: -0.06827, std: 0.01249, params: {'hidden0_num_units': 8, 'hidden1_num_units': 25}
mean: -0.06827, std: 0.01249, params: {'hidden0_num_units': 8, 'hidden1_num_units': 26}
mean: -0.06827, std: 0.01249, params: {'hidden0_num_units': 8, 'hidden1_num_units': 27}
mean: -0.06827, std: 0.01249, params: {'hidden0_num_units': 8, 'hidden1_num_units': 28}
mean: -0.06827, std: 0.01249, params: {'hidden0_num_units': 8, 'hidden1_num_units': 29}
mean: -0.06684, std: 0.01276, params: {'hidden0_num_units': 8, 'hidden1_num_units': 30}
mean: -0.06684, std: 0.01276, params: {'hidden0_num_units': 8, 'hidden1_num_units': 31}
mean: -0.07515, std: 0.01513, params: {'hidden0_num_units': 9, 'hidden1_num_units': 5}
mean: -0.07515, std: 0.01513, params: {'hidden0_num_units': 9, 'hidden1_num_units': 6}
mean: -0.07515, std: 0.01513, params: {'hidden0_num_units': 9, 'hidden1_num_units': 7}
mean: -0.07515, std: 0.01513, params: {'hidden0_num_units': 9, 'hidden1_num_units': 8}
mean: -0.07515, std: 0.01513, params: {'hidden0_num_units': 9, 'hidden1_num_units': 9}
mean: -0.06321, std: 0.01505, params: {'hidden0_num_units': 9, 'hidden1_num_units': 10}
mean: -0.06467, std: 0.01708, params: {'hidden0_num_units': 9, 'hidden1_num_units': 11}
mean: -0.06467, std: 0.01708, params: {'hidden0_num_units': 9, 'hidden1_num_units': 12}
