mean: -0.00124, std: 0.00032, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.6}
mean: -0.00130, std: 0.00028, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.7}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.8}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.9}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.0}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.1}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.2}
mean: -0.00114, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.3}
mean: -0.00132, std: 0.00014, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.4}
mean: -0.00145, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.5}
mean: -0.00145, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.6}
mean: -0.00145, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.7}
mean: -0.00145, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.8}
mean: -0.00145, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.9}
mean: -0.00153, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 2.0}
mean: -0.00181, std: 0.00045, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.1}
mean: -0.00196, std: 0.00031, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.2}
mean: -0.00196, std: 0.00031, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.3}
mean: -0.00196, std: 0.00031, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.4}
mean: -0.00196, std: 0.00031, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.5}
mean: -0.00196, std: 0.00031, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.6}
mean: -0.00173, std: 0.00002, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.7}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.8}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.9}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.0}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.1}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.2}
mean: -0.00168, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.3}
mean: -0.00140, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.4}
mean: -0.00125, std: 0.00004, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.5}
mean: -0.00125, std: 0.00004, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.6}
mean: -0.00125, std: 0.00004, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.7}
mean: -0.00125, std: 0.00004, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.8}
mean: -0.00125, std: 0.00004, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.9}
mean: -0.00127, std: 0.00002, params: {'hidden0_num_units': 8, 'update_learning_rate': 2.0}
mean: -0.00132, std: 0.00007, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.1}
mean: -0.00144, std: 0.00017, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.2}
mean: -0.00144, std: 0.00017, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.3}
mean: -0.00144, std: 0.00017, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.4}
