took 312.488506079ec


mean: -0.00574, std: 0.00237, params: {'max_depth': 15, 'min_samples_leaf': 3}
mean: -0.00468, std: 0.00004, params: {'max_depth': 15, 'min_samples_leaf': 4}
mean: -0.00675, std: 0.00203, params: {'max_depth': 15, 'min_samples_leaf': 5}
mean: -0.00730, std: 0.00199, params: {'max_depth': 15, 'min_samples_leaf': 6}
mean: -0.00779, std: 0.00183, params: {'max_depth': 15, 'min_samples_leaf': 7}
mean: -0.00701, std: 0.00012, params: {'max_depth': 15, 'min_samples_leaf': 8}
mean: -0.00885, std: 0.00165, params: {'max_depth': 15, 'min_samples_leaf': 9}
mean: -0.01054, std: 0.00167, params: {'max_depth': 15, 'min_samples_leaf': 10}
mean: -0.00985, std: 0.00169, params: {'max_depth': 15, 'min_samples_leaf': 11}
mean: -0.01146, std: 0.00179, params: {'max_depth': 15, 'min_samples_leaf': 12}
mean: -0.01079, std: 0.00177, params: {'max_depth': 15, 'min_samples_leaf': 13}
mean: -0.01220, std: 0.00172, params: {'max_depth': 15, 'min_samples_leaf': 14}
mean: -0.00395, std: 0.00343, params: {'max_depth': 16, 'min_samples_leaf': 1}
mean: -0.00428, std: 0.00275, params: {'max_depth': 16, 'min_samples_leaf': 2}
mean: -0.00313, std: 0.00005, params: {'max_depth': 16, 'min_samples_leaf': 3}
mean: -0.00713, std: 0.00221, params: {'max_depth': 16, 'min_samples_leaf': 4}
mean: -0.00769, std: 0.00214, params: {'max_depth': 16, 'min_samples_leaf': 5}
mean: -0.00815, std: 0.00193, params: {'max_depth': 16, 'min_samples_leaf': 6}
mean: -0.00875, std: 0.00199, params: {'max_depth': 16, 'min_samples_leaf': 7}
mean: -0.00924, std: 0.00172, params: {'max_depth': 16, 'min_samples_leaf': 8}
mean: -0.00974, std: 0.00188, params: {'max_depth': 16, 'min_samples_leaf': 9}
mean: -0.00896, std: 0.00167, params: {'max_depth': 16, 'min_samples_leaf': 10}
mean: -0.00834, std: 0.00009, params: {'max_depth': 16, 'min_samples_leaf': 11}
mean: -0.01013, std: 0.00157, params: {'max_depth': 16, 'min_samples_leaf': 12}
mean: -0.01048, std: 0.00186, params: {'max_depth': 16, 'min_samples_leaf': 13}
mean: -0.01100, std: 0.00157, params: {'max_depth': 16, 'min_samples_leaf': 14}
mean: -0.00332, std: 0.00366, params: {'max_depth': 17, 'min_samples_leaf': 1}
mean: -0.00389, std: 0.00304, params: {'max_depth': 17, 'min_samples_leaf': 2}
mean: -0.00454, std: 0.00258, params: {'max_depth': 17, 'min_samples_leaf': 3}
mean: -0.00532, std: 0.00236, params: {'max_depth': 17, 'min_samples_leaf': 4}
mean: -0.00596, std: 0.00211, params: {'max_depth': 17, 'min_samples_leaf': 5}
mean: -0.00659, std: 0.00198, params: {'max_depth': 17, 'min_samples_leaf': 6}
mean: -0.00858, std: 0.00186, params: {'max_depth': 17, 'min_samples_leaf': 7}
mean: -0.00914, std: 0.00193, params: {'max_depth': 17, 'min_samples_leaf': 8}
mean: -0.00960, std: 0.00175, params: {'max_depth': 17, 'min_samples_leaf': 9}
mean: -0.01013, std: 0.00180, params: {'max_depth': 17, 'min_samples_leaf': 10}
mean: -0.00827, std: 0.00018, params: {'max_depth': 17, 'min_samples_leaf': 11}
mean: -0.01003, std: 0.00164, params: {'max_depth': 17, 'min_samples_leaf': 12}
mean: -0.01160, std: 0.00177, params: {'max_depth': 17, 'min_samples_leaf': 13}
mean: -0.01205, std: 0.00144, params: {'max_depth': 17, 'min_samples_leaf': 14}
mean: -0.00030, std: 0.00001, params: {'max_depth': 18, 'min_samples_leaf': 1}
mean: -0.00150, std: 0.00001, params: {'max_depth': 18, 'min_samples_leaf': 2}
mean: -0.00623, std: 0.00258, params: {'max_depth': 18, 'min_samples_leaf': 3}
mean: -0.00518, std: 0.00231, params: {'max_depth': 18, 'min_samples_leaf': 4}
mean: -0.00437, std: 0.00001, params: {'max_depth': 18, 'min_samples_leaf': 5}
mean: -0.00657, std: 0.00209, params: {'max_depth': 18, 'min_samples_leaf': 6}
mean: -0.00719, std: 0.00191, params: {'max_depth': 18, 'min_samples_leaf': 7}
mean: -0.00648, std: 0.00013, params: {'max_depth': 18, 'min_samples_leaf': 8}
