mean: -0.00085, std: 0.00007, params: {'hidden0_num_units': 17, 'hidden1_num_units': 9}
mean: -0.00085, std: 0.00007, params: {'hidden0_num_units': 17, 'hidden1_num_units': 10}
mean: -0.00084, std: 0.00007, params: {'hidden0_num_units': 17, 'hidden1_num_units': 11}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 12}
mean: -0.00084, std: 0.00005, params: {'hidden0_num_units': 17, 'hidden1_num_units': 13}
mean: -0.00083, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 14}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 15}
mean: -0.00084, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 16}
mean: -0.00083, std: 0.00005, params: {'hidden0_num_units': 17, 'hidden1_num_units': 17}
mean: -0.00085, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 18}
mean: -0.00083, std: 0.00005, params: {'hidden0_num_units': 17, 'hidden1_num_units': 19}
mean: -0.00083, std: 0.00007, params: {'hidden0_num_units': 17, 'hidden1_num_units': 20}
mean: -0.00082, std: 0.00006, params: {'hidden0_num_units': 17, 'hidden1_num_units': 21}
