mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.5}
mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.6}
mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.7}
mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.8}
mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.9}
mean: -0.00194, std: 0.00015, params: {'hidden0_num_units': 8, 'update_learning_rate': 2.0}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.1}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.2}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.3}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.4}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.5}
mean: -0.00150, std: 0.00024, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.6}
mean: -0.00166, std: 0.00014, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.7}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.8}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.9}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.0}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.1}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.2}
mean: -0.00198, std: 0.00022, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.3}
mean: -0.00182, std: 0.00020, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.4}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.5}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.6}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.7}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.8}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.9}
mean: -0.00171, std: 0.00016, params: {'hidden0_num_units': 9, 'update_learning_rate': 2.0}
mean: -0.00197, std: 0.00004, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.1}
mean: -0.00197, std: 0.00004, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.2}
mean: -0.00197, std: 0.00004, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.3}
